Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title,Currency
St. Helena D1,Dragon Telecom,0.26,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
St. Pierre & Miquelon D1,Dragon Telecom,0.10,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
St. Vincent D1,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Togo D1,Dragon Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Togo D2,Dragon Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Togo D3,Dragon Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Togo D4,Dragon Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tokelau D5,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tonga D1,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tonga D2,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia D1,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia D2,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia D3,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia D4,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Turks & Caicos D5,Dragon Telecom,0.10,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tuvulu D6,Dragon Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Vanuatu D1,Dragon Telecom,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Vanuatu D2,Dragon Telecom,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Wallis & Fortuna D1,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Wallis & Fortuna D2,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Western Samoa D1,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Western Samoa D2,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Western Samoa D3,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Zimbabwe D1,Dragon Telecom,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Zimbabwe D2,Dragon Telecom,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
